#Mr._Amyand
#James_Theobalds_Esqr
#Mr_Roberts
#MrMC
#Alexander_Stuart
#Mr._Hodson
#Mr._Launce
#Jean_De_Fontaney
#James_Cunningham
#Daniel_Waldo
#Capt_Walker
#Isaac_Waldron_Esqr
#Abraham_Waldron
#William_Courten
#Mr._Edwards
#Richard_Middleton_Massey
#Peter_Collinson
#Matthew_Gosset
#Cromwell_Mortimer
#Mr._Gordon
#Dr_Douce
#Duke_of_Bourbon
#Philip_2nd_of_Spain
#Lady_Sondes
#Hans_Sloane
#Robert_Southwell
#Mr_Styleman
#Mr._Bell
#Capt_Christopher_Middleton
#Mr_Hoofnail
#Mrs_Hepheshebah_Parker
#Dr_Labe
#Mrs_Stephens
#James_Petiver
#David_Krieg
#Mr._Pycolas
#Vale_Vicor
#Moses
#Mr_Collier
#Mr_Alexr_Light
#Mrs_Bernard
#Mrs_Hayes
#Mr_Lapthorn
#Mr_Doyly
#Mr._Bewley
#Rene_Reaumur
#Philip_Miller
#Dr._Amman
#Mr_Padmore
#Matthew_Maty
#Charles_Morton
#Francois_Duquesnoy
#Mr._Beddevoles
#Mr._Marshall
#James_Wilson
#John_Melling
#Johannes_van_Musschenbroek
#King3
#Mr_Desmarets
#William_Bentinck
#King_James
#Francis_Hauksbee
#Arthur_Charlett
#Mr._Pinfold
#Giuseppe_Campani
#Mr_Lenoy
#Mr_Haynes
#Mrs._Waters
#Charles_II
#Mr_Killegrew
#Oliver_Cromwell
#Stephen_Gray
#Gio_Bapt_Verle
#Mr_Villarmont
#Queen_Elizabeth_I
#Robert_Hooke
#Mr._Adams
#John_Ranby
#Thomas_Stack
#Mr_Paine
#Dr_Bartram
#Mr._Cotts
#Mr._Mason
#Mrs._Edwards
#George_Bell
#Mr._Dandridge
#Capt_Hebden_
#Charles_I
#Navarette
#John_Bartram
#Mr_Wright
#Mr_Seregold
#John_Winthrop
#Miss_Stanley
#Patrick_Adair
#Joannes_Henricus_Hampe
#Mr_Wildy
#Mr._Clark
#_Mr_Brown
#Duke_of_Cumberland
#Isaac_Newton
#Pope_Alexander_VIII
#John_Jackson
#Pope_Clement_XII
#Mr_Scott
#Mr_Hawkeens
#Mr_Fairweather
#George_Edwards
#Mr._Maidstone
#William_Watson
#William_Hanbury
#Jean_Huber
#Duke_of_Grafton
#Frederick_Slare
#John_Conyers
#Robert_Boyle
#Caspar_Antonio
#William_von_Schroder
#Robert_Moray
#Lord_Colerane
#Monsr_Villette
#Pierre_Silvestre
#Mr._Staphorst
#Father_Visdelon
#Beauvilliers
#Lady_Kent
#Mr_Carmichael
#William_Sherard
#Charles_Leigh
#Dampier
#Charles_Montagu
#Duke_Marlborough
#Mr_Robert_Walker
#Colonel_Laws
#Mrs_Sadler
#Mr_Gore
#Mr_Orchard
#Mr_Chishull
#Mr_Middleton
#Sir_Charles_Wager
#Richard_Mead
#Mr_Bernard
#Alexander_Brown
#Dr._Brown
#Hoffsted_van_Essen
#Mrrown
#Dr_Browne
#George_Cheyne
#Dr_Groenfield
#Mr_Hodges
#Mr_James
#Ambrose_Godfrey-Hanckwitz
#Joy
#Mr._Wm._Dunker
#John_Rawdon
#Martha_Cooper
#Sr_Streynsham_Masters
#Thomas_Tennison
#Duke_of_Monmouth
#Dr._Hobbs
#Mr._Homberg
#Claude_Geoffroy1
#Mr._Robinson
#Gilbert_Heathcote
#Nicolas_Waites
#Dr._Lavater
#Mr_Burnett
#Mr._Cowper
#Francis_Aston
#Jean_Rodolphe_Perronet
#Mr_Gilberts
#Martin_Lister
#William_Cowper2
#Robert_Harley
#Albertus_Seba
#Johann_Georg_Steigertahl
#Mrs._Trenchfield
#Mr._Moults
#Mr_Stallwood
#Mr_Johnson
#Mr._Ott
#Charles_Cadogan
#Mr_Alsop
#John_Bagford
#Thomas_Simon
#Riley
#Mrs_Byde
#George_Harris
#Prince_of_Hesse
#John_Conduitt
#Baron_Botmar
#Duke_of_Chandos
#Dr_Bokelman
#Mrs_Heathcote
#Mr._Serocold
#HenrySr.
#Elihu_Yale
#Robert_Houston
#Mr_Van_Mildert
#Mr_Harvey
#Dr._Kempfer
#Abraham_Cyprianus
#Mr._Hill
#Mr_Dupuys
#John_Covel
#Mrs_Astall
#George_I
#Lady_Darlington
#Benjamin_Franklin
#Mark_Catesby
#Mr._Hennepin
#Francis_Nicholson
#JohnFul
#Mr._Campbell
#Roger_Gale
#Baron_Rostgard
#Mr_Skinner
#Charles_Lockyer
#Dr_Hubbert
#Mr_Elking
#Thomas_Pitt
#Mr._Harris
#Dr_Burnett
#Dr_Hoffman
#Henry_Plumptre
#Mr_John_Heathcote
#Mrs_Shepherd
#Mr._Clerk
#Mrs._Dering
#Governor_Bennet
#Dr_Varin
#Mr_Fabre
#Mr_Lyell
#D_Woodward
#Mrs_Smith
#Mr_Walduck
#Mr_Standish
#Capt_Walduck
#Mr._Barrets
#Mr._Dering
#Mr._Jones
#Duke_of_Argyle
#Mr_Maidstone
#Queen_Anne
#Mr_Purnell
#John_Thomas_Woolhouse
#Dr._Mausafia
#Dr_Battely
#Mr_Nichols
#Mrs_Steigertahl
#Paul_Lucas
#James_Stuart_Duke_of_Richmond
#Mr._Wild
#Governr_Jennings
#Erik_Benzelius
#William_Houstoun
#Thomas_Short
#Mr._Bradley
#Mr_Talbot
#Isaaci_Barrow
#Dr._Clifton
#Duke_of_Newcastle
#Nehemiah_Grew
#Mr._Godfroy
#Mr._Graham
#Mr_Lascelles
#Mr._Kenly
#Abbe_Bernardo_Sterbini
#Henry_Newman
#Peirce_Dod
#Mrs_Marshall
#Mr_Nash
#Mr_Sainthill
#Revd_Mr_Scott
#Charles_Maitland
#FrancisBuccleuch
#Mr_Green
#Mr_Gilbert
#Mr_Muhleman
#Papenau
#Mr._Winthorpe
#James_Hodgson
#Capt_Jenkens
#Mr._Laurie
#Mr_Cotteret
#Mr_Seguier
#Mr_Grubb
#Mr._Cox
#Cardinal_Gualtieri
#Johann_Jakob_Scheuchzer
#Mr_Cooke
#Dr_Huntington
#Mr._Compton
#Mr_Charles_de_la_Fontaine
#Mr_Conyers
#Oldsworth
#Dr_Harwood
#Richard_Richardson
#Mr._Martin
#Owen_Brigstocke
#John_Morton
#Thomas_Browne
#Oldisworth
#Mr._Sandys
#Edward_Browne
#Mr_Lloyd
#Mr_Cairns
#Bp_of_Norwich
#Charles_Townshend
#Mr._Wainwright
#Jius
#Mr_Holiday
#Adrian_Beverland
#Dr_Brooks
#Earl_of_Sandwich
#John_Kempe
#Earl_of_Arundell
#Mr_Benjamin_Mott
#Louis_14th
#Andrew_Fountaine
#Mr_Warner_
#Mr_Galliard
#Dr_Hutton
#Mr._Gousset
#Mr_Jackson
#Sig_r._Veraccini
#Dean_Copping
#Mr_Ashworth
#William_Ellis
#Smart_Lethieullier
#William_Lethieullier
#Mr_Alexander_Gordon
#Mr_Kennedy
#Mr._Smith
#Lord_Burlington
#Andr_Hay
#Pitt_Lethieullier
#William_Stukely
#Mr._Stanley
#Sr._John_Colbatch
#Sir_Griffith_Williams
#Mr_Hildesley
#Thomas_Hollis
#Robert_Wood
#Mrs_Standish
#Lord_Pembroke
#Mr_George
#Soranzo
#Mr._Nadler
#Dr._Crone
#Sr_George_Rook
#Mr_Leneve
#Dr._Rosse
#Lord_Montacute
#Edmund_Berry_Godfrey
#Duke_of_Buckingham
#Mr._Rickersey
#Christopher_Packe
#Henry_ye_8th
#William_Courtney
nan
#Martin_Folkes
#Mr._Bevan
#George_II
#King_James_2nd
#Doge_Francesco_Morosini
#Mr_Vander_Elst
#Sir_Richard_Steele
#Duke_of_Bavaria
#Francis_Drake
#Dingley
#Sir_Edward_Nicholas
#Mr._Kettle
#Robert_Walpole
