div3
person,M r. Ste
person, Gray
catnum,194.
div2,Miscellanies.
div3
person, Verle.
catnum,196.
div2,Miscellanies.
div3
person, M r. Villarmont
catnum,201.
div2,Miscellanies.
div3
person, Q. Elizabeth
catnum,2014.
div2,Miscellanies.
div3
person, D r. Hook
catnum,2017.
div2,Miscellanies.
div3
person,M r. Adams
catnum,2021.
div2,Miscellanies.
div3
person, M r. Ranby
catnum,2029.
div2,Miscellanies.
div3
person, D r. Stack
catnum,"
              2035.
            "
div2,Miscellanies.
div3
person,M r. Paine
catnum,"
              2036.
            "
div2,Miscellanies.
div3
person, D r. Bartram
catnum,"
              2037.
            "
div2,Miscellanies.
div3
person,M r. Cunning = =ham
catnum,-221.
div2,Miscellanies.
div3
person, D r. Bartram
catnum,"
              2038.
            "
div2,Miscellanies.
div3
person,M r. Cotts
catnum,"
              2040.
            "
div2,Miscellanies.
div3
person,M r. Handisyd
catnum,225.
div2,Miscellanies.
div3
person,M r. Handisyde
catnum,226.
div2,Miscellanies.
div3
person,M r. Mason
catnum,"
              2046.
            "
div2,Miscellanies.
div3
person,M rs. Edwards
catnum,"
              2048.
            "
div2,Miscellanies.
div3
person, M r Bell
catnum,"
              2049
            "
div2,Miscellanies.
div3
person,M r. Dandridges
catnum,"
              2055.
            "
div2,Miscellanies.
div3
person,Capt: Hebden
person, King Charles's 
catnum,"
              2058.
            "
div2,Miscellanies.
div3
person, M r. Courtens
person, Father who
catnum,"
              2063.
            "
div2,Miscellanies.
div3
person, Cap t : Middleton
catnum,2065.
div2,Miscellanies.
div3
person, M r. Bartram
catnum,2067. 9
div2,Miscellanies.
div3
person, D r. Hook
catnum,-266.
div2,Miscellanies.
div3
person, Fa. Fo u ntenay
catnum,269.
div2,Miscellanies.
div3
person,M r. Wright
catnum,2069.
div2,Miscellanies.
div3
person,M r. Seregold
catnum,2071.
div2,Miscellanies.
div3
person,M r. Cunningham.
catnum,273.
div2,Miscellanies.
div3
person, M r. Winthorp
catnum,2080.
div2,Miscellanies.
div3
person,Miss Stanley
catnum,2081.
div2,Miscellanies.
div3
person, D r.Adair
catnum,289.
div2,Miscellanies.
div3
person,D r. Hamps
catnum,2086.
div2,Miscellanies.
div3
person, M r.. Wildy
catnum,2092.
div2,Miscellanies.
div3
person,Green
person,Standish
person, D r. Adairs-
catnum,-290.
div2,Miscellanies.
div3
person, M r. Bell
catnum,"
              2094.
            "
div2,Miscellanies.
div3
person, D r. Hampe
catnum,2095.
div2,Miscellanies.
div3
person,M r. Clark
catnum,2096
div2,Miscellanies.
div3
person, D r. Stack
person,M r. Brown
catnum,2097.
div2,Miscellanies.
div3
person,Duke of Cumberland
person, S r. Isaac Newton
person, Pope Alexander VIII
person,M r. John Jackson
person, S r. Isaac Newton
catnum,2101.
div2,Miscellanies.
div3
person, Clemens XII
person,M r. Scott
catnum,2102.
div2,Miscellanies.
div3
person,M r. Hawkeens
catnum,2103.
div2,Miscellanies.
div3
person,M r. Fairweather
catnum,2105.
div2,Miscellanies.
div3
person, M r. Geo Edwards
catnum,2106.
div2,Miscellanies.
div3
person,M r. Maidstone
catnum,-316.
div2,Miscellanies.
div3
person,James
person,Theobalds
catnum,2108
div2,Miscellanies.
div3
person, M r. William Watson
catnum,2109
div2,Miscellanies.
div3
person, King Charles the Second's
person, Will m. Hanbury Esq r
catnum,2110
div2,Miscellanies.
div3
person, M r. Hubert
person, Duke of Graffton
catnum,2111
div2,Miscellanies.
div3
person, Father Fontaney
catnum,-323.
div2,Miscellanies.
div3
person,D r. Slave
catnum,-324.
div2,Miscellanies.
div3
person,M r. Conyers
catnum,329.
div2,Miscellanies.
div3
person, M r. Boyles
person, D r. Hook
catnum,-331.
div2,Miscellanies.
div3
person, D r. Hook.
catnum,-334.
div2,Miscellanies.
div3
person, mons r. Schroter
person, S r. Rob. Moray
catnum,-336.
div2,Miscellanies.
div3
person, Lord Coler= =ane
person, M r. Courten
catnum,341.
div2,Miscellanies.
div3
person, D r. Hook
catnum,-349.
div2,Miscellanies.
div3
person,Mons r. Villette
catnum,364.
div2,Miscellanies.
div3
person, D r. Silvestre
catnum,-391.
div2,Miscellanies.
div3
person,Staphorst
catnum,-392.
div2,Miscellanies.
div3
person, M r. Petiver
catnum,-404.
div2,Miscellanies.
div3
person,Father Visdelon
person,Beauvilliers
catnum,-415.
div2,Miscellanies.
div3
person, Lady Kent's
catnum,437.
div2,Miscellanies.
div3
person,M r. Carmichael
catnum,-438.
div2,Miscellanies.
div3
person, D r. Sherard
catnum,-439.
div2,Miscellanies.
div3
person, D r. Leigh
catnum,-448.
div2,Miscellanies.
div3
person, D r. Adair
catnum,-455.
div2,Miscellanies.
div3
person, D r. Adair
catnum,-458.
div2,Miscellanies.
div3
person,M r. Cunningham
catnum,-462.
div2,Miscellanies.
div3
person, D r. Hook
catnum,-466.
div2,Miscellanies.
div3
person, Father Fontaney
catnum,-469.
div2,Miscellanies.
div3
person, M r. Dampier
catnum,-481.
div2,Miscellanies.
div3
person,M r. Conyers
catnum,487.
div2,Miscellanies.
div3
person, D r. Stuart
catnum,-493.
div2,Miscellanies.
div3
person, D r. Stuart
catnum,-496.
div2,Miscellanies.
div3
person, Lord Halifax
person, Duke of Marlborough
catnum,-499.
div2,Miscellanies.
div3
person,M r. Robert Walker
catnum,-529.
div2,Miscellanies.
div3
person,Coll. Laws.
person,Coll. Laws
catnum,-540.
div2,Miscellanies.
div3
person,M rs. Sadler
catnum,-543.
div2,Miscellanies.
div3
person,M r. Gore
catnum,-559.
div2,Miscellanies.
div3
person,M r. Orchard
catnum,-564.
div2,Miscellanies.
div3
person, M r. Pinfold
catnum,-566.
div2,Miscellanies.
div3
person, D r. Adair
catnum,-568.
div2,Miscellanies.
div3
person, M r. Chichele
catnum,-570.
div2,Miscellanies.
div3
person, M r. Middleton
catnum,-573.
div2,Miscellanies.
div3
person, S r. Charles Wager
person, D r. Mead
catnum,-579.
div2,Miscellanies.
div3
person,M r. Bernard
catnum,-580.
div2,Miscellanies.
div3
person,Alex r. Brown
catnum,-586.
div2,Miscellanies.
div3
person,M r. Maidstone
catnum,-593.
div2,Miscellanies.
div3
person,D r. Brown
catnum,-596.
div2,Miscellanies.
div3
person,D r. Brown
catnum,-597.
div2,Miscellanies.
div3
person,D r. Brown
catnum,-599.
div2,Miscellanies.
div3
person,D r. Brown
catnum,-600.
div2,Miscellanies.
div3
person,D r. Brown
catnum,-601.
div2,Miscellanies.
div3
person,D r. Br
catnum,-602.
div2,Miscellanies.
div3
person,D r. Brown
catnum,-603.
div2,Miscellanies.
div3
person,D r. Brown
catnum,-604.
div2,Miscellanies.
div3
person,D r. Brown
catnum,-605.
div2,Miscellanies.
div3
person,D r. Brown
catnum,-606.
div2,Miscellanies.
div3
person,D r. Brown
catnum,-607.
div2,Miscellanies.
div3
person,D r. Brown
catnum,-609.
div2,Miscellanies.
div3
person,D r. Brown.
catnum,-610.
div2,Miscellanies.
div3
person,D r. Br
catnum,-612.
div2,Miscellanies.
div3
person,D r. Brown
catnum,-613.
div2,Miscellanies.
div3
person,D r. Brown.
catnum,-614.
div2,Miscellanies.
div3
person,D r. Br
catnum,-615.
div2,Miscellanies.
div3
person,D r. Br
catnum,-616.
div2,Miscellanies.
div3
person,D r. Br
catnum,-617.
div2,Miscellanies.
div3
person,D r. Brown
catnum,-618.
div2,Miscellanies.
div3
person,D r. Brown
catnum,-619.
div2,Miscellanies.
div3
person,D r. Brown
catnum,-621.
div2,Miscellanies.
div3
person,Alex. Brown
catnum,-630.
div2,Miscellanies.
div3
person,M r. Alexr. Brown .
catnum,-632.
div2,Miscellanies.
div3
person,Alex r. Brown
catnum,-633.
div2,Miscellanies.
div3
person,Al. Br.
catnum,-639.
div2,Miscellanies.
div3
person,Al. Br.
catnum,-640.
div2,Miscellanies.
div3
person,AL B.
catnum,-641.
div2,Miscellanies.
div3
person,Alex r. Br.
catnum,-642.
div2,Miscellanies.
div3
person,Al. Br.
catnum,-649.
div2,Miscellanies.
div3
person,M r. Wilson
person,Alex r. Brown
catnum,-652.
div2,Miscellanies.
div3
person,M r. Wilsons microscopes
catnum,653
div2,Miscellanies.
div3
person,Hoffsted van Essen
catnum,-663.
div2,Miscellanies.
div3
person,Alex r. Brown 
catnum,-664.
div2,Miscellanies.
div3
person,Alex r. Brown
catnum,-665.
div2,Miscellanies.
div3
person,Green
catnum,-669.
div2,Miscellanies.
div3
person,D r. Br.
catnum,-670.
div2,Miscellanies.
div3
person,D r. Brown
catnum,-671.
div2,Miscellanies.
div3
person,D r. Brown
catnum,-672.
div2,Miscellanies.
div3
person,D r. Br
catnum,-674.
div2,Miscellanies.
div3
person,D r. Br.
catnum,-675.
div2,Miscellanies.
div3
person,D r. Br
catnum,-676.
div2,Miscellanies.
div3
person,D r. Br
catnum,-677.
div2,Miscellanies.
div3
person,D r. Br
catnum,-678.
div2,Miscellanies.
div3
person,D r. Br
catnum,-679.
div2,Miscellanies.
div3
person,D r. Br
catnum,-680.
div2,Miscellanies.
div3
person,D r. Brown.
catnum,-681.
div2,Miscellanies.
div3
person,D r. Br
catnum,-682.
div2,Miscellanies.
div3
person,D r. Br
catnum,-683.
div2,Miscellanies.
div3
person,D r. Br.
catnum,-684.
div2,Miscellanies.
div3
person,D. Manuch
person,M r. S. Br.
catnum,-685.
div2,Miscellanies.
div3
person,D r. Br.
catnum,-686.
div2,Miscellanies.
div3
person,D r. Browne
catnum,-693.
div2,Miscellanies.
div3
person,D r. Brown
catnum,-694.
div2,Miscellanies.
div3
person, D r. Cheyne.
catnum,-695.
div2,Miscellanies.
div3
person,D r. Brown
person,Dr. Groenfield
catnum,-698.
div2,Miscellanies.
div3
person, M r. Petiver
catnum,-724.
div2,Miscellanies.
div3
person,M r. Hodges
catnum,-737.
div2,Miscellanies.
div3
person,M r. James
catnum,-739.
div2,Miscellanies.
div3
person, M r. Godfrey
catnum,-753.
div2,Miscellanies.
div3
person,Joys
catnum,-765.
div2,Miscellanies.
div3
person,M r. W
catnum,-768.
div2,Miscellanies.
div3
person,S r. John Ra
catnum,-779.
div2,Miscellanies.
div3
person,M r. Maidstone
catnum,-780. 789
div2,Miscellanies.
div3
person, D r. Adair
catnum,-789.
div2,Miscellanies.
div3
person, Holbein
person, Queen Eliz= =abeth
catnum,-791.
div2,Miscellanies.
div3
person,Martha Cooper
catnum, 806.
div2,Miscellanies.
div3
person, S r. W
catnum,-810.
div2,Miscellanies.
div3
person, S r. Streynsham Masters
person, Archbishop of Canterbury
catnum,811.
div2,Miscellanies.
div3
person,Br
catnum,-814.
div2,Miscellanies.
div3
person, Duke of Monmouth
person, Thomas Tennison Lord. Archbishop of Canter= bury
catnum,-821.
div2,Miscellanies.
div3
person,Caspar Antonio
person,D r. Hobbs
catnum,-836.
div2,Miscellanies.
div3
person,M r. Hombergs
person, M r. Geoffroy
catnum,-837.
div2,Miscellanies.
div3
person, M r. Robinson
catnum,-842.
div2,Miscellanies.
div3
person,D r. Waldo
catnum,-845.
div2,Miscellanies.
div3
person, M r. Heathcote
catnum,-847.
div2,Miscellanies.
div3
person, M r. Heathcote
catnum,-849. 
div2,Miscellanies.
div3
person,S r. Nicolas Waite
catnum,-852.
div2,Miscellanies.
div3
person,D r. Waldo
catnum,-853.
div2,Miscellanies.
div3
person,D r. Waldo
catnum,-854.
div2,Miscellanies.
div3
person,D r. Waldo
catnum,-856.
div2,Miscellanies.
div3
person, Navarette
div3
person,D r. Waldo
catnum,-863.
div2,Miscellanies.
div3
person,M r. Heathcote
catnum,-870.
div2,Miscellanies.
div3
person,D r. Waldo
catnum,-873.
div2,Miscellanies.
div3
person,D r. Lavater
catnum,-874.
div2,Miscellanies.
div3
person,M r. Burnett
catnum,-876.
div2,Miscellanies.
div3
person, M r. Cowper
catnum,-877.
div2,Miscellanies.
div3
